index,at-flux,gal_num,ned_name,u-r,re
4,at_flux__yx,K0007,IC1528,2.18,17.027999877
8,at_flux__yx,K0012,NGC0023,2.15,11.088000297
10,at_flux__yx,K0014,UGC00139,1.7,13.463999748
11,at_flux__yx,K0017,UGC00148,1.76,13.463999748
13,at_flux__yx,K0019,UGC00312,1.7,9.8999996185
15,at_flux__yx,K0023,MCG-02-02-040,2.16,12.671999931
26,at_flux__yx,K0036,NGC0216,1.58,13.463999748
29,at_flux__yx,K0039,NGC0237,1.84,11.880000114
38,at_flux__yx,K0049,NGC0444,1.94,13.463999748
39,at_flux__yx,K0050,UGC00809,2.08,11.880000114
40,at_flux__yx,K0051,UGC00841,2.15,9.8999996185
52,at_flux__yx,K0067,UGC01057,1.98,8.3159999847
57,at_flux__yx,K0072,IC0159,1.71,12.671999931
59,at_flux__yx,K0076,UGCA021,1.88,28.115999221
68,at_flux__yx,K0088,NGC0755,1.72,19.403999328
70,at_flux__yx,K0090,NGC0768,2.09,11.484000206
83,at_flux__yx,K0103,NGC0873,1.74,13.859999656
88,at_flux__yx,K0110,NGC0941,1.83,23.36400032
106,at_flux__yx,K0138,NGC1094,2.01,9.1079998016
108,at_flux__yx,K0140,UGC02311,2.09,11.484000206
124,at_flux__yx,K0164,UGC02690,1.71,11.484000206
136,at_flux__yx,K0177,NGC1659,1.96,13.463999748
139,at_flux__yx,K0182,NGC1667,2.18,14.255999565
140,at_flux__yx,K0183,IC2095,1.44,11.484000206
142,at_flux__yx,K0186,NGC1677,1.62,9.1079998016
143,at_flux__yx,K0187,IC2101,1.99,14.255999565
148,at_flux__yx,K0194,NGC2347,2.15,11.880000114
149,at_flux__yx,K0195,UGC03899,1.21,6.7319998741
151,at_flux__yx,K0197,UGC03944,1.86,13.067999839
153,at_flux__yx,K0203,UGC03973,1.21,13.463999748
157,at_flux__yx,K0210,UGC04054,2.2,13.463999748
160,at_flux__yx,K0221,NGC2480,1.96,21.780000686
171,at_flux__yx,K0280,UGC04176,1.55,13.463999748
178,at_flux__yx,K0311,NGC2530,1.93,17.027999877
181,at_flux__yx,K0318,UGC04258,1.81,12.276000022
182,at_flux__yx,K0326,NGC2540,1.99,12.671999931
198,at_flux__yx,K0476,IC2361,2.04,11.088000297
206,at_flux__yx,K0548,UGC04464,2.19,11.088000297
207,at_flux__yx,K0562,UGC04461,1.79,11.880000114
208,at_flux__yx,K0569,NGC2604,1.85,15.840000152
214,at_flux__yx,K0602,UGC04532,1.75,8.7119998931
217,at_flux__yx,K0607,UGC04550,2.11,16.236000061
229,at_flux__yx,K0651,NGC2719,0.99,9.1079998016
231,at_flux__yx,K0653,NGC2730,1.89,20.195999145
233,at_flux__yx,K0659,NGC2738,1.88,9.8999996185
234,at_flux__yx,K0663,2MASXJ09043394+4517323,1.96,15.048000335
237,at_flux__yx,K0672,NGC2764,2.12,11.484000206
238,at_flux__yx,K0673,UGC04800,1.78,13.859999656
243,at_flux__yx,K0703,UGC04845,1.94,16.631999969
250,at_flux__yx,K0715,IC2450,1.84,10.692000389
261,at_flux__yx,K0775,UGC04970,2.1,7.9200000762
262,at_flux__yx,K0778,UGC04982,1.94,10.295999527
263,at_flux__yx,K0779,NGC2854,2.03,10.692000389
269,at_flux__yx,K0788,2MASXJ09283754+3832213,1.3,9.8999996185
275,at_flux__yx,K0798,NGC2919,2.12,16.236000061
276,at_flux__yx,K0799,NGC2916,2.18,21.780000686
289,at_flux__yx,K0816,UGC05157,1.97,11.088000297
290,at_flux__yx,K0817,NGC2955,2.21,13.859999656
296,at_flux__yx,K0824,UGC05244,1.92,9.8999996185
298,at_flux__yx,K0827,NGC3021,1.72,13.463999748
299,at_flux__yx,K0828,UGC05315,1.59,11.880000114
300,at_flux__yx,K0829,UGC05320,1.96,15.444000244
302,at_flux__yx,K0831,NGC3043,1.96,12.276000022
305,at_flux__yx,K0834,UGC05358,1.77,15.444000244
307,at_flux__yx,K0836,NGC3075,2.09,15.048000335
309,at_flux__yx,K0838,SDSSJ100141.02+371447.4,0.67,59.400001525
311,at_flux__yx,K0841,NGC3057,1.97,25.343999862
316,at_flux__yx,K0846,NGC3153,1.92,17.819999694
319,at_flux__yx,K0849,UGC05520,2.04,15.840000152
320,at_flux__yx,K0850,UGC05529,1.88,9.1079998016
324,at_flux__yx,K0855,UGC05597,2.15,5.9400000572
325,at_flux__yx,K0856,UGC05598,2.17,10.692000389
328,at_flux__yx,K0859,UGC05642,1.51,11.484000206
333,at_flux__yx,K0864,UGC05695,1.85,13.067999839
334,at_flux__yx,K0865,UGC05693,2.2,12.671999931
336,at_flux__yx,K0867,UGC05727,1.93,11.088000297
342,at_flux__yx,K0874,NGC3320,1.97,16.236000061
349,at_flux__yx,K0884,NGC3363,2.19,13.067999839
352,at_flux__yx,K0887,NGC3381,1.84,21.780000686
354,at_flux__yx,K0889,NGC3395,0.93,19.00799942
356,at_flux__yx,K0891,NGC3419A,1.57,10.295999527
360,at_flux__yx,K0896,UGC05990,1.86,8.7119998931
361,at_flux__yx,K0897,NGC3440,1.51,10.295999527
368,at_flux__yx,K0905,NGC3488,2.1,17.819999694
369,at_flux__yx,K0906,UGC06104,1.54,12.276000022
371,at_flux__yx,K0909,UGC06136,1.77,11.484000206
377,at_flux__yx,K0916,NGC3547,1.58,13.463999748
378,at_flux__yx,K0917,NGC3543,1.9,10.295999527
383,at_flux__yx,K0926,IC0677,1.84,10.295999527
392,at_flux__yx,K0937,NGC3625,1.85,12.671999931
393,at_flux__yx,K1000,NGC3629,1.66,27.719999313
394,at_flux__yx,K1005,UGC06355,1.46,13.463999748
396,at_flux__yx,K1009,UGC06380,2.19,8.7119998931
397,at_flux__yx,K1010,UGC06383,1.7,12.671999931
399,at_flux__yx,K1013,NGC3642,2.12,20.591999054
400,at_flux__yx,K1015,IC2763,1.55,12.671999931
403,at_flux__yx,K1024,NGC3652,1.39,17.423999786
408,at_flux__yx,K2044,UGC06433,1.28,14.255999565
412,at_flux__yx,K2752,NGC3682,2.1,12.276000022
416,at_flux__yx,K2835,NGC3712,1.38,23.36400032
417,at_flux__yx,K2851,NGC3752,2.02,14.652000427
418,at_flux__yx,K2871,UGC06526,1.66,5.1479997634
421,at_flux__yx,K2999,UGC06545,2.07,11.484000206
436,at_flux__yx,K4027,NGC3815,2.04,10.295999527
